Drug1,Drug2,Cell line,ZIP,classification
L-778123,NVP-BEZ235,A2058_SKIN,10.63,synergy
L-778123,NVP-BEZ235,A2058_SKIN,11.83,synergy
L-778123,NVP-BEZ235,A2058_SKIN,14.15,synergy
L-778123,MK-2206 dihydrochloride,A2058_SKIN,5.89,synergy
L-778123,MK-2206 dihydrochloride,A2058_SKIN,12.54,synergy
L-778123,MK-2206 dihydrochloride,A2058_SKIN,13.42,synergy
L-778123,niraparib,A2058_SKIN,11.56,synergy
L-778123,niraparib,A2058_SKIN,12.1,synergy
L-778123,niraparib,A2058_SKIN,7.81,synergy
L-778123,niraparib,A2058_SKIN,10.83,synergy
L-778123,MK-5108,A2058_SKIN,18.05,synergy
L-778123,MK-5108,A2058_SKIN,17.84,synergy
L-778123,MK-5108,A2058_SKIN,18.37,synergy
L-778123,MK-5108,A2058_SKIN,18.35,synergy
L-778123,ridaforolimus,A2058_SKIN,18.78,synergy
L-778123,ridaforolimus,A2058_SKIN,33.55,synergy
L-778123,ridaforolimus,A2058_SKIN,23.91,synergy
L-778123,ridaforolimus,A2058_SKIN,25.29,synergy
L-778123,Y0217,A2058_SKIN,11.71,synergy
L-778123,Y0217,A2058_SKIN,8.96,synergy
L-778123,Y0217,A2058_SKIN,15.85,synergy
L-778123,Y0217,A2058_SKIN,11.37,synergy
L-778123,PD 0325901,A2058_SKIN,5.9,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,48.41,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,25.31,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,32.69,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,14.91,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2058_SKIN,7.93,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2058_SKIN,11.49,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2058_SKIN,6.48,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2058_SKIN,13.46,synergy
MK-2206 dihydrochloride,ridaforolimus,A2058_SKIN,21.07,synergy
MK-2206 dihydrochloride,ridaforolimus,A2058_SKIN,9.97,synergy
MK-2206 dihydrochloride,PD 0325901,A2058_SKIN,11.59,synergy
MK-2206 dihydrochloride,PD 0325901,A2058_SKIN,12.13,synergy
MK-2206 dihydrochloride,PD 0325901,A2058_SKIN,7.29,synergy
MK-2206 dihydrochloride,PD 0325901,A2058_SKIN,11.51,synergy
MK-2206 dihydrochloride,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,7.72,synergy
SCHEMBL14184849,5-fluorouracil,A2058_SKIN,-6.32,antagonism
SCHEMBL14184849,veliparib,A2058_SKIN,9.52,synergy
SCHEMBL14184849,veliparib,A2058_SKIN,5.65,synergy
SCHEMBL14184849,L-778123,A2058_SKIN,17.2,synergy
SCHEMBL14184849,L-778123,A2058_SKIN,-9.79,antagonism
SCHEMBL14184849,L-778123,A2058_SKIN,-6.41,antagonism
SCHEMBL14184849,MK-2206 dihydrochloride,A2058_SKIN,-8.42,antagonism
SCHEMBL14184849,MK-2206 dihydrochloride,A2058_SKIN,-6.3,antagonism
SCHEMBL14184849,MK-2206 dihydrochloride,A2058_SKIN,-7.25,antagonism
SCHEMBL14184849,MK-5108,A2058_SKIN,9.98,synergy
SCHEMBL14184849,MK-5108,A2058_SKIN,-5.09,antagonism
SCHEMBL14184849,ridaforolimus,A2058_SKIN,-8.34,antagonism
SCHEMBL14184849,Y0217,A2058_SKIN,-5.1,antagonism
SCHEMBL14184849,Y0217,A2058_SKIN,-6.37,antagonism
SCHEMBL14184849,PD 0325901,A2058_SKIN,8.91,synergy
SCHEMBL14184849,PD 0325901,A2058_SKIN,-6.43,antagonism
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,5.74,synergy
niraparib,veliparib,A2058_SKIN,6.24,synergy
niraparib,NVP-BEZ235,A2058_SKIN,-5.76,antagonism
niraparib,MK-2206 dihydrochloride,A2058_SKIN,8.21,synergy
niraparib,MK-2206 dihydrochloride,A2058_SKIN,15.96,synergy
niraparib,MK-2206 dihydrochloride,A2058_SKIN,22.06,synergy
niraparib,ridaforolimus,A2058_SKIN,12.39,synergy
niraparib,Y0217,A2058_SKIN,18.01,synergy
niraparib,Y0217,A2058_SKIN,13.19,synergy
niraparib,Y0217,A2058_SKIN,15.76,synergy
niraparib,Y0217,A2058_SKIN,18.41,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,9.1,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,9.78,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,9.96,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,14.38,synergy
MK-5108,veliparib,A2058_SKIN,5.06,synergy
MK-5108,MK-2206 dihydrochloride,A2058_SKIN,-5.13,antagonism
MK-5108,niraparib,A2058_SKIN,19.28,synergy
MK-5108,niraparib,A2058_SKIN,10.49,synergy
MK-5108,niraparib,A2058_SKIN,15.26,synergy
MK-5108,niraparib,A2058_SKIN,13.25,synergy
MK-5108,ridaforolimus,A2058_SKIN,-5.4,antagonism
MK-5108,ridaforolimus,A2058_SKIN,6.68,synergy
MK-5108,Y0217,A2058_SKIN,-6.8,antagonism
MK-5108,Y0217,A2058_SKIN,-14.76,antagonism
MK-5108,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,5.17,synergy
ridaforolimus,NVP-BEZ235,A2058_SKIN,18.23,synergy
ridaforolimus,NVP-BEZ235,A2058_SKIN,19.52,synergy
ridaforolimus,NVP-BEZ235,A2058_SKIN,19.63,synergy
ridaforolimus,NVP-BEZ235,A2058_SKIN,16.8,synergy
ridaforolimus,Y0217,A2058_SKIN,10.62,synergy
ridaforolimus,Y0217,A2058_SKIN,5.93,synergy
CHEMBL196215,5-fluorouracil,A2058_SKIN,25.04,synergy
CHEMBL196215,5-fluorouracil,A2058_SKIN,9.86,synergy
CHEMBL196215,5-fluorouracil,A2058_SKIN,12.89,synergy
CHEMBL196215,veliparib,A2058_SKIN,7.27,synergy
CHEMBL196215,MK-1775,A2058_SKIN,6.85,synergy
CHEMBL196215,MK-1775,A2058_SKIN,9.9,synergy
CHEMBL196215,MK-1775,A2058_SKIN,7.33,synergy
CHEMBL196215,NVP-BEZ235,A2058_SKIN,7.59,synergy
CHEMBL196215,NVP-BEZ235,A2058_SKIN,7.75,synergy
CHEMBL196215,NVP-BEZ235,A2058_SKIN,10.73,synergy
CHEMBL196215,NVP-BEZ235,A2058_SKIN,11.09,synergy
CHEMBL196215,L-778123,A2058_SKIN,19.45,synergy
CHEMBL196215,L-778123,A2058_SKIN,6.83,synergy
CHEMBL196215,MK-2206 dihydrochloride,A2058_SKIN,5.21,synergy
CHEMBL196215,MK-2206 dihydrochloride,A2058_SKIN,12.7,synergy
CHEMBL196215,niraparib,A2058_SKIN,11.03,synergy
CHEMBL196215,niraparib,A2058_SKIN,26.44,synergy
CHEMBL196215,niraparib,A2058_SKIN,21.83,synergy
CHEMBL196215,niraparib,A2058_SKIN,6.5,synergy
CHEMBL196215,MK-5108,A2058_SKIN,6.29,synergy
CHEMBL196215,ridaforolimus,A2058_SKIN,6.21,synergy
CHEMBL196215,ridaforolimus,A2058_SKIN,13.11,synergy
CHEMBL196215,ridaforolimus,A2058_SKIN,5.24,synergy
CHEMBL196215,Y0217,A2058_SKIN,5.43,synergy
CHEMBL196215,PD 0325901,A2058_SKIN,15.03,synergy
CHEMBL196215,PD 0325901,A2058_SKIN,10.86,synergy
CHEMBL196215,PD 0325901,A2058_SKIN,5.58,synergy
CHEMBL196215,PD 0325901,A2058_SKIN,5.72,synergy
CHEMBL196215,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,9.86,synergy
CHEMBL196215,7-ethyl-10-hydroxycamptothecin,A2058_SKIN,8.27,synergy
PD 0325901,veliparib,A2058_SKIN,15.6,synergy
PD 0325901,NVP-BEZ235,A2058_SKIN,10.72,synergy
PD 0325901,NVP-BEZ235,A2058_SKIN,10.84,synergy
PD 0325901,NVP-BEZ235,A2058_SKIN,13.91,synergy
PD 0325901,NVP-BEZ235,A2058_SKIN,13.33,synergy
PD 0325901,ridaforolimus,A2058_SKIN,11.55,synergy
PD 0325901,ridaforolimus,A2058_SKIN,11.13,synergy
PD 0325901,ridaforolimus,A2058_SKIN,15.97,synergy
7-ethyl-10-hydroxycamptothecin,Y0217,A2058_SKIN,6.07,synergy
7-ethyl-10-hydroxycamptothecin,Y0217,A2058_SKIN,7.45,synergy
7-ethyl-10-hydroxycamptothecin,Y0217,A2058_SKIN,6.4,synergy
7-ethyl-10-hydroxycamptothecin,Y0217,A2058_SKIN,5.99,synergy
5-fluorouracil,veliparib,A2780_OVARY,8.06,synergy
5-fluorouracil,veliparib,A2780_OVARY,7.17,synergy
5-fluorouracil,veliparib,A2780_OVARY,9.43,synergy
5-fluorouracil,veliparib,A2780_OVARY,9.12,synergy
5-fluorouracil,MK-1775,A2780_OVARY,8.91,synergy
5-fluorouracil,MK-1775,A2780_OVARY,20.42,synergy
5-fluorouracil,MK-1775,A2780_OVARY,26.37,synergy
5-fluorouracil,MK-1775,A2780_OVARY,10.24,synergy
5-fluorouracil,NVP-BEZ235,A2780_OVARY,6.09,synergy
5-fluorouracil,MK-2206 dihydrochloride,A2780_OVARY,5.09,synergy
5-fluorouracil,MK-2206 dihydrochloride,A2780_OVARY,12.13,synergy
5-fluorouracil,MK-2206 dihydrochloride,A2780_OVARY,7.8,synergy
5-fluorouracil,MK-2206 dihydrochloride,A2780_OVARY,7.62,synergy
5-fluorouracil,niraparib,A2780_OVARY,11.07,synergy
5-fluorouracil,niraparib,A2780_OVARY,5.57,synergy
5-fluorouracil,niraparib,A2780_OVARY,7.83,synergy
5-fluorouracil,niraparib,A2780_OVARY,6.37,synergy
5-fluorouracil,MK-5108,A2780_OVARY,7.59,synergy
5-fluorouracil,MK-5108,A2780_OVARY,10.31,synergy
5-fluorouracil,MK-5108,A2780_OVARY,8.41,synergy
5-fluorouracil,ridaforolimus,A2780_OVARY,5.67,synergy
5-fluorouracil,ridaforolimus,A2780_OVARY,13.19,synergy
5-fluorouracil,ridaforolimus,A2780_OVARY,5.41,synergy
5-fluorouracil,ridaforolimus,A2780_OVARY,7.19,synergy
5-fluorouracil,Y0217,A2780_OVARY,7.72,synergy
5-fluorouracil,Y0217,A2780_OVARY,7.73,synergy
5-fluorouracil,Y0217,A2780_OVARY,9.04,synergy
5-fluorouracil,Y0217,A2780_OVARY,9.96,synergy
5-fluorouracil,PD 0325901,A2780_OVARY,5.83,synergy
5-fluorouracil,PD 0325901,A2780_OVARY,8.02,synergy
5-fluorouracil,PD 0325901,A2780_OVARY,9.93,synergy
5-fluorouracil,PD 0325901,A2780_OVARY,9.92,synergy
veliparib,NVP-BEZ235,A2780_OVARY,13.38,synergy
veliparib,NVP-BEZ235,A2780_OVARY,13.43,synergy
veliparib,NVP-BEZ235,A2780_OVARY,21.21,synergy
veliparib,NVP-BEZ235,A2780_OVARY,13.18,synergy
veliparib,Y0217,A2780_OVARY,14.38,synergy
veliparib,Y0217,A2780_OVARY,6.84,synergy
veliparib,Y0217,A2780_OVARY,13.29,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,15.49,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,16.48,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,15.45,synergy
veliparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,20.08,synergy
MK-1775,veliparib,A2780_OVARY,7.68,synergy
MK-1775,veliparib,A2780_OVARY,7.11,synergy
MK-1775,veliparib,A2780_OVARY,7.84,synergy
MK-1775,veliparib,A2780_OVARY,8.88,synergy
MK-1775,NVP-BEZ235,A2780_OVARY,13.59,synergy
MK-1775,NVP-BEZ235,A2780_OVARY,13.78,synergy
MK-1775,NVP-BEZ235,A2780_OVARY,13.04,synergy
MK-1775,NVP-BEZ235,A2780_OVARY,13.43,synergy
MK-1775,MK-2206 dihydrochloride,A2780_OVARY,11.1,synergy
MK-1775,MK-2206 dihydrochloride,A2780_OVARY,12.25,synergy
MK-1775,MK-2206 dihydrochloride,A2780_OVARY,16.8,synergy
MK-1775,MK-2206 dihydrochloride,A2780_OVARY,13.05,synergy
MK-1775,niraparib,A2780_OVARY,12.14,synergy
MK-1775,niraparib,A2780_OVARY,7.67,synergy
MK-1775,niraparib,A2780_OVARY,9.53,synergy
MK-1775,niraparib,A2780_OVARY,8.69,synergy
MK-1775,MK-5108,A2780_OVARY,9.12,synergy
MK-1775,MK-5108,A2780_OVARY,6.59,synergy
MK-1775,MK-5108,A2780_OVARY,7.24,synergy
MK-1775,MK-5108,A2780_OVARY,6.03,synergy
MK-1775,ridaforolimus,A2780_OVARY,15.54,synergy
MK-1775,ridaforolimus,A2780_OVARY,12.89,synergy
MK-1775,ridaforolimus,A2780_OVARY,15.48,synergy
MK-1775,ridaforolimus,A2780_OVARY,15.76,synergy
MK-1775,Y0217,A2780_OVARY,31.46,synergy
MK-1775,Y0217,A2780_OVARY,30.51,synergy
MK-1775,Y0217,A2780_OVARY,33.81,synergy
MK-1775,Y0217,A2780_OVARY,32.29,synergy
MK-1775,PD 0325901,A2780_OVARY,14.37,synergy
MK-1775,PD 0325901,A2780_OVARY,13.59,synergy
MK-1775,PD 0325901,A2780_OVARY,13.25,synergy
MK-1775,PD 0325901,A2780_OVARY,16.23,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,5.61,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,6.15,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,15.83,synergy
MK-1775,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,6.82,synergy
NVP-BEZ235,Y0217,A2780_OVARY,10.78,synergy
NVP-BEZ235,Y0217,A2780_OVARY,12.02,synergy
NVP-BEZ235,Y0217,A2780_OVARY,18.49,synergy
NVP-BEZ235,Y0217,A2780_OVARY,12.28,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,7.43,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,7.56,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,10.39,synergy
NVP-BEZ235,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,12.26,synergy
L-778123,veliparib,A2780_OVARY,5.01,synergy
L-778123,veliparib,A2780_OVARY,10.48,synergy
L-778123,MK-1775,A2780_OVARY,14.15,synergy
L-778123,MK-1775,A2780_OVARY,16.62,synergy
L-778123,MK-1775,A2780_OVARY,16.26,synergy
L-778123,MK-1775,A2780_OVARY,13.97,synergy
L-778123,NVP-BEZ235,A2780_OVARY,5.86,synergy
L-778123,NVP-BEZ235,A2780_OVARY,5.78,synergy
L-778123,NVP-BEZ235,A2780_OVARY,6.1,synergy
L-778123,NVP-BEZ235,A2780_OVARY,5.56,synergy
L-778123,MK-2206 dihydrochloride,A2780_OVARY,11.75,synergy
L-778123,MK-2206 dihydrochloride,A2780_OVARY,12.31,synergy
L-778123,MK-2206 dihydrochloride,A2780_OVARY,12.98,synergy
L-778123,MK-2206 dihydrochloride,A2780_OVARY,16.79,synergy
L-778123,MK-5108,A2780_OVARY,9.46,synergy
L-778123,MK-5108,A2780_OVARY,7.76,synergy
L-778123,MK-5108,A2780_OVARY,8.64,synergy
L-778123,MK-5108,A2780_OVARY,10.18,synergy
L-778123,Y0217,A2780_OVARY,10.55,synergy
L-778123,Y0217,A2780_OVARY,12.87,synergy
L-778123,Y0217,A2780_OVARY,15.58,synergy
L-778123,Y0217,A2780_OVARY,8.89,synergy
L-778123,PD 0325901,A2780_OVARY,6.91,synergy
L-778123,PD 0325901,A2780_OVARY,10.14,synergy
L-778123,PD 0325901,A2780_OVARY,9.18,synergy
L-778123,PD 0325901,A2780_OVARY,10.6,synergy
L-778123,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,6.07,synergy
MK-2206 dihydrochloride,veliparib,A2780_OVARY,24.37,synergy
MK-2206 dihydrochloride,veliparib,A2780_OVARY,25.36,synergy
MK-2206 dihydrochloride,veliparib,A2780_OVARY,27.53,synergy
MK-2206 dihydrochloride,veliparib,A2780_OVARY,24.8,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2780_OVARY,16.85,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2780_OVARY,13.86,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2780_OVARY,14.37,synergy
MK-2206 dihydrochloride,NVP-BEZ235,A2780_OVARY,19.16,synergy
MK-2206 dihydrochloride,ridaforolimus,A2780_OVARY,8.84,synergy
MK-2206 dihydrochloride,ridaforolimus,A2780_OVARY,10.12,synergy
MK-2206 dihydrochloride,ridaforolimus,A2780_OVARY,9.44,synergy
MK-2206 dihydrochloride,ridaforolimus,A2780_OVARY,12.49,synergy
MK-2206 dihydrochloride,Y0217,A2780_OVARY,16.19,synergy
MK-2206 dihydrochloride,Y0217,A2780_OVARY,14.47,synergy
MK-2206 dihydrochloride,Y0217,A2780_OVARY,10.19,synergy
MK-2206 dihydrochloride,Y0217,A2780_OVARY,13.8,synergy
MK-2206 dihydrochloride,PD 0325901,A2780_OVARY,25.09,synergy
MK-2206 dihydrochloride,PD 0325901,A2780_OVARY,19.11,synergy
MK-2206 dihydrochloride,PD 0325901,A2780_OVARY,22.04,synergy
MK-2206 dihydrochloride,PD 0325901,A2780_OVARY,25.21,synergy
MK-2206 dihydrochloride,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,7.18,synergy
MK-2206 dihydrochloride,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,7.79,synergy
MK-2206 dihydrochloride,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,8.72,synergy
MK-2206 dihydrochloride,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,8.26,synergy
SCHEMBL14184849,5-fluorouracil,A2780_OVARY,7.93,synergy
SCHEMBL14184849,5-fluorouracil,A2780_OVARY,16.09,synergy
SCHEMBL14184849,5-fluorouracil,A2780_OVARY,9.17,synergy
SCHEMBL14184849,5-fluorouracil,A2780_OVARY,7.29,synergy
SCHEMBL14184849,veliparib,A2780_OVARY,5.85,synergy
SCHEMBL14184849,veliparib,A2780_OVARY,16.32,synergy
SCHEMBL14184849,MK-1775,A2780_OVARY,6.45,synergy
SCHEMBL14184849,MK-1775,A2780_OVARY,5.77,synergy
SCHEMBL14184849,MK-1775,A2780_OVARY,5.05,synergy
SCHEMBL14184849,NVP-BEZ235,A2780_OVARY,16.19,synergy
SCHEMBL14184849,NVP-BEZ235,A2780_OVARY,15.58,synergy
SCHEMBL14184849,NVP-BEZ235,A2780_OVARY,16.09,synergy
SCHEMBL14184849,NVP-BEZ235,A2780_OVARY,9.82,synergy
SCHEMBL14184849,L-778123,A2780_OVARY,7.54,synergy
SCHEMBL14184849,L-778123,A2780_OVARY,9.63,synergy
SCHEMBL14184849,L-778123,A2780_OVARY,8.16,synergy
SCHEMBL14184849,L-778123,A2780_OVARY,7.95,synergy
SCHEMBL14184849,MK-2206 dihydrochloride,A2780_OVARY,13.03,synergy
SCHEMBL14184849,MK-2206 dihydrochloride,A2780_OVARY,14.79,synergy
SCHEMBL14184849,MK-2206 dihydrochloride,A2780_OVARY,14.91,synergy
SCHEMBL14184849,MK-2206 dihydrochloride,A2780_OVARY,12.68,synergy
SCHEMBL14184849,niraparib,A2780_OVARY,11.89,synergy
SCHEMBL14184849,niraparib,A2780_OVARY,8.82,synergy
SCHEMBL14184849,niraparib,A2780_OVARY,6.48,synergy
SCHEMBL14184849,niraparib,A2780_OVARY,11.67,synergy
SCHEMBL14184849,ridaforolimus,A2780_OVARY,13.05,synergy
SCHEMBL14184849,ridaforolimus,A2780_OVARY,16.93,synergy
SCHEMBL14184849,ridaforolimus,A2780_OVARY,20.94,synergy
SCHEMBL14184849,ridaforolimus,A2780_OVARY,19.08,synergy
SCHEMBL14184849,Y0217,A2780_OVARY,10.1,synergy
SCHEMBL14184849,CHEMBL196215,A2780_OVARY,6.96,synergy
SCHEMBL14184849,CHEMBL196215,A2780_OVARY,9.14,synergy
SCHEMBL14184849,CHEMBL196215,A2780_OVARY,8.88,synergy
SCHEMBL14184849,CHEMBL196215,A2780_OVARY,8.9,synergy
SCHEMBL14184849,PD 0325901,A2780_OVARY,10.03,synergy
SCHEMBL14184849,PD 0325901,A2780_OVARY,20.94,synergy
SCHEMBL14184849,PD 0325901,A2780_OVARY,9.66,synergy
SCHEMBL14184849,PD 0325901,A2780_OVARY,12.09,synergy
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,9.73,synergy
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,5.69,synergy
SCHEMBL14184849,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,6.14,synergy
niraparib,NVP-BEZ235,A2780_OVARY,6.61,synergy
niraparib,NVP-BEZ235,A2780_OVARY,6.78,synergy
niraparib,NVP-BEZ235,A2780_OVARY,6.88,synergy
niraparib,MK-2206 dihydrochloride,A2780_OVARY,5.37,synergy
niraparib,MK-2206 dihydrochloride,A2780_OVARY,11.61,synergy
niraparib,MK-2206 dihydrochloride,A2780_OVARY,10.05,synergy
niraparib,MK-2206 dihydrochloride,A2780_OVARY,8.28,synergy
niraparib,ridaforolimus,A2780_OVARY,5.63,synergy
niraparib,ridaforolimus,A2780_OVARY,7.92,synergy
niraparib,ridaforolimus,A2780_OVARY,5.67,synergy
niraparib,Y0217,A2780_OVARY,11.48,synergy
niraparib,Y0217,A2780_OVARY,11.26,synergy
niraparib,Y0217,A2780_OVARY,11.59,synergy
niraparib,Y0217,A2780_OVARY,13.08,synergy
niraparib,PD 0325901,A2780_OVARY,12.52,synergy
niraparib,PD 0325901,A2780_OVARY,10.16,synergy
niraparib,PD 0325901,A2780_OVARY,9.97,synergy
niraparib,PD 0325901,A2780_OVARY,8.67,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,10.94,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,13.46,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,20.16,synergy
niraparib,7-ethyl-10-hydroxycamptothecin,A2780_OVARY,13.47,synergy
MK-5108,veliparib,A2780_OVARY,6.99,synergy
MK-5108,veliparib,A2780_OVARY,9.51,synergy
MK-5108,veliparib,A2780_OVARY,6.76,synergy
MK-5108,veliparib,A2780_OVARY,7.2,synergy
MK-5108,NVP-BEZ235,A2780_OVARY,8.18,synergy
MK-5108,NVP-BEZ235,A2780_OVARY,10.39,synergy
MK-5108,NVP-BEZ235,A2780_OVARY,9.23,synergy
MK-5108,NVP-BEZ235,A2780_OVARY,9.03,synergy
MK-5108,MK-2206 dihydrochloride,A2780_OVARY,10.75,synergy
MK-5108,MK-2206 dihydrochloride,A2780_OVARY,9.51,synergy
MK-5108,MK-2206 dihydrochloride,A2780_OVARY,7.76,synergy
MK-5108,MK-2206 dihydrochloride,A2780_OVARY,9.82,synergy
MK-5108,niraparib,A2780_OVARY,6.94,synergy
MK-5108,niraparib,A2780_OVARY,8.71,synergy
MK-5108,niraparib,A2780_OVARY,8.97,synergy
MK-5108,niraparib,A2780_OVARY,8.73,synergy
MK-5108,ridaforolimus,A2780_OVARY,21.39,synergy
